,Move 1,Move 2
0,0.7707668680893748,0.6515738239413813
1,0.7632881597468727,0.6687112857636652
2,0.7442038067861607,0.6449823387359318
3,0.7512695183095179,0.6652206692256426
4,0.7509949634733953,0.6567235273750205
5,0.7487149395440754,0.6629014773588432
6,0.7387049700868757,0.6922411953148089
7,0.758551747704807,0.6829373278115926
8,0.7633760430703037,0.6975563690850609
9,0.7386628314460578,0.6698802518217187
10,0.7557799083621879,0.664506423394931
11,0.7450683712567153,0.6564338184500995
12,0.7212560907006264,0.6576339037010545
13,0.7578906623940719,0.6723493165091464
14,0.768859369072475,0.6707809490592856
15,0.7508009436099152,0.6517207642134867
16,0.7550950162504849,0.6650985841688357
17,0.7584753529805887,0.675993039184495
18,0.7493337730828085,0.679012617743329
19,0.7462408828107934,0.6078853705995961
