,Move 1,Move 2
0,1.0,0.9947368421052631
1,0.9947368421052631,0.9789473684210527
2,1.0,0.9947368421052631
3,1.0,1.0
4,1.0,1.0
5,0.9894736842105263,0.9789473684210527
6,0.9894736842105263,0.9947368421052631
7,0.9947368421052631,0.9894736842105263
8,0.9947368421052631,0.9947368421052631
9,1.0,0.9789473684210527
10,0.9947368421052631,0.9789473684210527
11,0.9842105263157894,1.0
12,0.9842105263157894,0.968421052631579
13,1.0,0.9789473684210527
14,0.9947368421052631,0.9947368421052631
15,1.0,0.9210526315789473
16,1.0,0.9789473684210527
17,0.9842105263157894,0.9789473684210527
18,1.0,0.9947368421052631
19,1.0,0.9947368421052631
