Move 1,Move 2
0.7019512566296677,0.6735305778290096
0.6961050017099631,0.6290962268211688
0.7135234595913637,0.6195477387535642
0.7107800473508082,0.5784359491185138
0.728467706865386,0.618005047938977
0.6942936611802955,0.5863692387502794
0.7312600378927432,0.6686411158818948
0.701564525930505,0.577195059625726
0.6873428122777688,0.6342282262586412
0.7062927448435834,0.6196374558304486
0.7117735090224366,0.5919541222484488
0.6681639418005944,0.6397916217645009
0.7092888847777717,0.6089256922403972
0.6973602175712585,0.6011603498929425
0.731419072731545,0.6716151105730157
0.7106403408474044,0.6478933337487672
0.6964188949450066,0.6243435846347558
0.7014623621184575,0.587131929397583
0.6835661277174949,0.6099752710053795
0.7082480070622343,0.6299587848155122
