,Move 1,Move 2
0,0.9210526315789473,0.48947368421052634
1,0.9368421052631579,0.7842105263157895
2,0.6736842105263158,0.8894736842105263
3,0.7842105263157895,0.8052631578947368
4,0.8631578947368421,0.8421052631578947
5,0.8105263157894737,0.8894736842105263
6,0.8315789473684211,0.8789473684210526
7,0.9,0.5157894736842106
8,0.8736842105263158,0.7473684210526316
9,0.7315789473684211,0.6157894736842106
10,0.868421052631579,0.7052631578947368
11,0.868421052631579,0.1
12,0.7421052631578947,0.8
13,0.8368421052631579,0.7842105263157895
14,0.8210526315789474,0.7789473684210526
15,0.8631578947368421,0.7947368421052632
16,0.8368421052631579,0.8894736842105263
17,0.9052631578947369,0.8736842105263158
18,0.9105263157894737,0.8473684210526315
19,0.9210526315789473,0.7842105263157895
