,Move 1,Move 2
0,0.7082492739158242,0.43516536339333184
1,0.7256881135858988,0.5313695245667508
2,0.6427787734881828,0.5518111783422922
3,0.6357611900881717,0.545634821214174
4,0.7025131486356259,0.5489261358192092
5,0.668806696722382,0.5102920651435852
6,0.6791390013145773,0.460718204786903
7,0.7109679057998093,0.49356642553680824
8,0.689414573578458,0.5056820947872965
9,0.620861616260127,0.5391369284767854
10,0.6629939571415123,0.5219395838285747
11,0.6872692101880123,0.4934342384338379
12,0.6944352820123497,0.5440069439379792
13,0.6613878819895418,0.493374723823447
14,0.669030101048319,0.5578036204764717
15,0.6875116442771334,0.5407586206731043
16,0.6757158552639578,0.5659328223059051
17,0.6804312979704455,0.5482161801112325
18,0.6964456950755495,0.5527988669119384
19,0.6954187661605445,0.5580015620902965
