Move 1,Move 2
0.7940335374913717,0.6515047346290789
0.7947461098334507,0.6563338006013318
0.7921863888439379,0.6658924749197318
0.7955576169255533,0.6880015106577623
0.7824747767299414,0.6620517456217816
0.7873145694011137,0.6759242998141991
0.7816027708743748,0.6470068519836978
0.7991262777855522,0.6607066552889974
0.786657999534356,0.6089475201933008
0.7984725818037987,0.6552559940438522
0.7932537236496022,0.6519893488601635
0.7858171677118854,0.6456210745008368
0.7860633109135238,0.6562908780417944
0.7942755680727331,0.6685523825256448
0.786546999372934,0.6588846401164407
0.7833308239516459,0.671645174920559
0.8038818215069018,0.6724684396072438
0.8288137954316641,0.6562764673640854
0.76846334730324,0.6803825198035491
0.7904223934208092,0.6934354026850901
