33Move 1,Move 2
0.6337161390404952,0.574579736355104
0.6339817131036206,0.5444769034260197
0.6617177699741564,0.5197976621358018
0.6395932788911619,0.5431282000322091
0.6467011973653969,0.5276382803916931
0.692397889573323,0.5459063443698381
0.6543692876633845,0.5192560788832212
0.6572470302644529,0.473539159799877
0.6510227540213811,0.537702142094311
0.6425666244025205,0.5617153064200753
0.6605880060478261,0.5302592914355428
0.6219517626260457,0.5407310595637873
0.6543470084667206,0.5530606928624605
0.651234627475864,0.4971215899053373
0.6436471486170041,0.5509900963620136
0.6515268198753658,0.4963506813112058
0.6344088573989115,0.5552680561809163
0.6570200291816254,0.5162359642355066
0.6326637734708033,0.5285478391145405
0.6529450366371556,0.56476712383722
