Move 1,Move 2
0.6779533253688561,0.667206313420128
0.6685339353586498,0.5925638904938331
0.6877167308801099,0.6504659108425441
0.651870507550867,0.6278343852413328
0.6780480259343198,0.646027273410245
0.6768285044714024,0.6693935833194039
0.6672009240988402,0.6099574299795287
0.6892032871905126,0.6363824959648283
0.6579959166677375,0.6116603357227225
0.6771062119226706,0.6329740511743646
0.679250113901339,0.5921115410955329
0.7026315735751076,0.6319976940751075
0.6584545621746465,0.616881190161956
0.65417324406536,0.5996157387369557
0.667648032386052,0.6546977788209916
0.6888073094581303,0.5916852849094492
0.6514773430792908,0.629309302254727
0.6889172377554994,0.5993645642933093
0.6606925679664862,0.5841576871119047
0.6674675062298775,0.5676121303909704
