Move 1,Move 2
0.7110147476196289,0.6046021695199766
0.7127694644426045,0.5652898908445709
0.7066581849204866,0.5926921765009562
0.6999356888626751,0.6250613847845479
0.688144330994079,0.6045814968426438
0.7262850981793906,0.6224531818377345
0.7068362152890155,0.6028315739972251
0.7146664317893354,0.6474603072685354
0.6875565641804745,0.5777427103958632
0.7216402274213339,0.5943122808870517
0.7145485775251138,0.6300058672302647
0.6993490866924587,0.6460783821448945
0.7061757342508662,0.6256691785235154
0.7189033376543146,0.6324743245777331
0.7290587688747205,0.6441143469678031
0.7089851298947739,0.6342304386590657
0.7090369430490029,0.6132305026838654
0.7001147928990816,0.633796311281865
0.7117868478753064,0.5901119381973617
0.7137833130271996,0.605628111644795
