,Move 1,Move 2
0,0.624048100215824,0.4835710436105728
1,0.6319742327065845,0.45223123588060077
2,0.5977052011772206,0.46397896095326074
3,0.6394968257138604,0.4684325265256982
4,0.6584862143585556,0.47433240758745293
5,0.597656890122514,0.45335547233882706
6,0.5314335154859643,0.5124637660227324
7,0.5992897278384158,0.4481821375457864
8,0.6181654321519952,0.5080165190132041
9,0.5616716399004585,0.462012358872514
10,0.6032371722553905,0.44477117155727586
11,0.6224415229339348,0.5199166759064323
12,0.5455039375706723,0.4976396195982632
13,0.5889090446265121,0.5041729171025126
14,0.5902109015929071,0.45713458076903696
15,0.5903207812654344,0.45809363158125627
16,0.5731476368088472,0.5068493811707747
17,0.5936011511244272,0.4826474170935781
18,0.5898557618260384,0.4380043773274673
19,0.5901297853181237,0.46514392950032885
