,Move 1,Move 2
0,0.9947368421052631,0.9789473684210527
1,0.9947368421052631,0.9894736842105263
2,0.9894736842105263,0.9947368421052631
3,0.9789473684210527,0.9947368421052631
4,1.0,0.9947368421052631
5,0.9947368421052631,0.9789473684210527
6,0.9947368421052631,0.9736842105263158
7,0.9947368421052631,0.9947368421052631
8,1.0,1.0
9,0.9894736842105263,0.9947368421052631
10,0.9421052631578948,0.9894736842105263
11,0.9947368421052631,1.0
12,0.9842105263157894,0.9947368421052631
13,0.9947368421052631,0.9894736842105263
14,1.0,0.9947368421052631
15,0.9947368421052631,1.0
16,0.9842105263157894,0.9842105263157894
17,0.9842105263157894,0.9947368421052631
18,0.9947368421052631,0.9947368421052631
19,0.9736842105263158,1.0
