Move 1 Inconsistency,Move 2 Inconsistency
0.6505805666160862,0.5312268919066379
0.6570976467116882,0.576166714492597
0.6921685834464274,0.528595433109685
0.700886372868952,0.5804925310768579
0.6756990912713503,0.562443240692741
0.7033060256587832,0.5738972994842028
0.6950344786440071,0.5757359333728489
0.6827985327494772,0.5611546657587353
0.6827213654392644,0.5512236069691808
0.6824503092389358,0.5709805612501345
0.7081383442321019,0.5742852990564548
0.682257171092849,0.5754751177602693
0.7159609209157919,0.5608363134296317
0.7022017621288174,0.5878992492431089
0.6883185363390989,0.5235489137862858
0.644822943289029,0.5557504222581261
0.6907436413592414,0.5293087440101724
0.6683282469840426,0.6004955189008462
0.6546539047830984,0.5622099149383997
0.6567825366791926,0.5733531196650706
