Move 1,Move 2
0.657367932169061,0.6421357997153935
0.6427803441097862,0.5831647427309127
0.6742158741543167,0.5963315954333858
0.6893830189187276,0.6216294001591833
0.6749132045005497,0.6091355310458886
0.633914210137568,0.6069932710183294
0.6657608013404043,0.6369786023745063
0.6576270420300333,0.6422856929270845
0.6915038573898767,0.6272419847940144
0.7010025530269272,0.6338246543055925
0.6814096138665551,0.6331034262713633
0.6556362156020967,0.6563489183522108
0.6613323527731394,0.5998747615437758
0.6708807335088127,0.6179610896267389
0.63680559169305,0.6229368291403118
0.6637461420736814,0.6383372817384569
0.6837507176948221,0.6291799003356382
0.6417269551440289,0.6385997162837731
0.6745602622628212,0.6489824600125614
0.6671731193598948,0.5903524717217997
