Move 1,Move 2
0.6480810792038315,0.4920638018532803
0.6709956401272824,0.5491250077360554
0.7078122565620824,0.5482825687057093
0.6595902784874564,0.5578347800593627
0.6898986061152659,0.547794772135584
0.6481827508462102,0.5592731025658155
0.6906997476753436,0.4922529506055932
0.6976070507576592,0.5682638012264905
0.6796390436981854,0.5370717216479151
0.6685062062583471,0.5317996696421975
0.6820206663326214,0.5789074625623853
0.6878216928949482,0.5562444628069275
0.6726118451670596,0.5663843937610326
0.6809266288813792,0.5773905769774789
0.688629282226688,0.5791614130923622
0.685245292908267,0.6151863031481442
0.6859760115021154,0.5540690644791252
0.6838542513941464,0.543356148192757
0.676395021849557,0.5225443419657255
0.6690921031330761,0.5980588081635927
